idCAS,SMILES,y_true,y_pp,MAPE
163084831,O=C1OC(F)(C(F)(F)F)C(=O)OC1(F)F,1345.0,31.23,132.1933086
630068,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],472.0,8.7,84.3220339
92068,[H]c1c([H])c([H])c(-c2c([H])c([H])c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c2[H])c([H])c1[H],2160.0,35.63,64.9537037
111013,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],590.0,9.69,64.23728814
10025873,O=P(Cl)(Cl)Cl,4964.925,76.44,53.96002961
335488,FC(F)(Br)C(F)(F)C(F)(F)C(F)(F)Br,2390.0,36.72,53.64016736
14049366,F[Si](F)(F)Cl,3465.31,53,52.94446961
638686,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],636.0,9.6,50.94339623
75252,[H]C(Br)(Br)Br,5775.53,85.88,48.69631012
354518,FC(F)(Br)C(F)(Cl)Br,3607.17,52.98,46.87414233
18356713,F[Si](F)(Cl)Cl,3499.77,51.13,46.09531483
