idCAS,SMILES,y_true,y_pp,MAPE
308247,[H]C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,477.6548,-170.64,135.7245442
13776620,F/N=N/F,260.1604,534.65,105.5078329
13812436,F/N=N\F,272.1508,534.65,96.45358382
355022,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,485.9081,62.42,87.15394948
661972,FC(F)(F)C(F)(Cl)C(F)(F)Cl,451.85,821.84,81.88336837
10544726,O=[N+]([O-])[N+](=O)[O-],431.3595089,761.43,76.51865423
773148,FC1(F)OC(F)(F)C(F)(F)C1(F)F,399.6,97.38,75.63063063
1805227,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,451.43,110.73,75.47128015
163084831,O=C1OC(F)(C(F)(F)F)C(=O)OC1(F)F,480.91,810.54,68.54297062
460195,N#CC#N,397.1282,645.09,62.43872885
425821,FC1(F)OC(F)(F)C1(F)F,361.85,139.49,61.45087744
353855,N#CC(F)(F)F,311.100667,496.92,59.7296479
10025873,O=P(Cl)(Cl)Cl,601.1080000000001,913.61,51.98766278
14049366,F[Si](F)(F)Cl,307.612208,466.73,51.72674811
7783611,F[Si](F)(F)F,259.01132,389.92,50.54168289
163084842,FC(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C12F,574.88,300.72,47.68995269
18356713,F[Si](F)(Cl)Cl,368.893577,528.48,43.26082994
116143,FC(F)=C(F)F,306.8825,423,37.83777179
79389,FC(F)=C(F)Cl,379.52528,518.79,36.69445155
2314978,FC(F)(F)I,396.44,540.43,36.32075472
646311,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],799.8,519.05,35.10252563
335273,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,512.0,344.99,32.61914063
14965527,F[Si](Cl)(Cl)Cl,438.399578,579.86,32.26746309
2070704,FC(=C(F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,438.99,573.04,30.5360031
684162,O=C(C(F)(F)F)C(F)(F)F,357.223,454.82,27.32102916
116154,FC(F)=C(F)C(F)(F)F,359.0,453.43,26.30362117
75638,FC(F)(F)Br,340.062976,424.77,24.90921682
79538,O=C(C(F)(F)F)C(F)(F)Cl,410.6315,510.94,24.42786294
80553011,[H]C([H])([H])C(=O)C(F)(C(F)(F)F)C(F)(F)F,467.64,581.27,24.29860577
434902,Fc1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,640.15,792.19,23.75068343
13465742,Cl[Si](Cl)(Cl)Br,539.961,666.76,23.48299229
359104,[H]C(Cl)=C(F)F,400.52922,493.68,23.25692493
10026047,Cl[Si](Cl)(Cl)Cl,508.06,623.66,22.75321812
355759,FC1=C(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,461.74844,562.97,21.9213648
354961,FC(F)(F)C(F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,462.9607,563.18,21.64747461
371788,FC(F)(F)SC(F)(F)F,376.75,456.31,21.11745189
13465753,Cl[Si](Cl)(Br)Br,584.961,704.58,20.44905558
110463,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])ON=O,476.81,571.22,19.80033976
13465764,Cl[Si](Br)(Br)Br,617.9592,738.2,19.45772472
2356618,[H]C(F)(F)C(F)(F)OC(F)(F)F,387.765,462.51,19.27585006
115253,FC1(F)C(F)(F)C(F)(F)C1(F)F,388.411312,314.03,19.15014051
53772784,FC(F)(F)OC(F)(F)OC(F)(F)F,372.35,442.04,18.71626158
22052842,[H]C([H])([H])OC(F)(C(F)(F)F)C(F)(F)F,433.3,511.91,18.14216478
354927,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,395.36992000000004,465.44,17.72266337
1522221,[H]C([H])(C(=O)C(F)(F)F)C(=O)C(F)(F)F,485.06,568.69,17.24116604
1511622,[H]C(F)(F)Br,411.98,482.97,17.231419
431630,[H]C(F)(F)C([H])(F)C(F)(F)F,412.3925,481.26,16.69950351
68122,[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],649.6,545.1,16.08682266
359353,[H]C(F)(F)C([H])(F)F,391.77,454.56,16.02726089
75387,[H]C([H])=C(F)F,302.72416400000003,351.21,16.0165067
420462,[H]C([H])([H])C(F)(F)F,345.88,291.29,15.7829305
75467,[H]C(F)(F)F,299.00459900000004,346.14,15.76410569
76051,[H]OC(=O)C(F)(F)F,491.29025199999995,567.76,15.56508555
755259,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,454.34548,524.65,15.47380201
56815,[H]OC([H])([H])C([H])(O[H])C([H])([H])O[H],850.0,723,14.94117647
123637,[H]C([H])([H])C1([H])OC([H])(C([H])([H])[H])OC([H])(C([H])([H])[H])O1,563.182,646.99,14.88115742
306832,[H]C(Cl)(Cl)C(F)(F)F,456.8855,524.67,14.8362117
102687650,[H]/C(Cl)=C(/[H])C(F)(F)F,438.75,502.13,14.44558405
354336,[H]C(F)(F)C(F)(F)F,339.2,387.55,14.25412736
865714,FC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,449.961,512.99,14.00765844
355635,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,478.155,544.23,13.81874078
504632,[H]OC([H])([H])C([H])([H])C([H])([H])O[H],718.2,620.09,13.66054024
374414,[H]C([H])([H])C(=O)C(F)(F)C(F)(F)F,453.03,514.87,13.65031013
267901020,[H]C(F)(F)OC(F)(OC([H])(F)F)C(F)(F)F,449.81,510.77,13.55238879
75887,[H]C([H])(Cl)C(F)(F)F,425.01,481.71,13.34086257
355044,FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,454.63,512.99,12.83681235
107211,[H]OC([H])([H])C([H])([H])O[H],718.5,626.86,12.75434934
431890,[H]C(F)(C(F)(F)F)C(F)(F)F,375.0,422.56,12.68266667
107108,[H]N([H])C([H])([H])C([H])([H])C([H])([H])[H],496.96214000000003,559.84,12.65244471
2706903,[H]OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,545.511,613.74,12.50735549
106934,[H]C([H])(Br)C([H])([H])Br,649.0,568.21,12.44838213
378723,[H]C([H])([H])C([H])([H])C(=O)C(F)(F)C(F)(F)F,475.54,534.62,12.42377087
406586,[H]C([H])([H])C(F)(F)C([H])([H])C(F)(F)F,459.9,402.92,12.38964992
355179,[H]C([H])([H])C(=O)C(F)(F)C(F)(F)C(F)(F)F,476.55,535.26,12.31979855
126841,[H]C([H])([H])C([H])([H])OC(OC([H])([H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],510.7,572.21,12.04425299
75796,[H]C([H])([H])[Si](Cl)(Cl)Cl,517.71,579.71,11.97581658
176674310,[H]C(F)(F)C([H])([H])N(C(F)(F)F)C(F)(F)F,460.2,515.29,11.97088223
