idCAS,SMILES,y_true,y_pp,MAPE
13465753,Cl[Si](Cl)(Br)Br,1980,803.527074,59.41782454
13465742,Cl[Si](Cl)(Cl)Br,1680,690.2714714,58.91241242
13465764,Cl[Si](Br)(Br)Br,2200,908.8593179,58.68821282
355680,FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,653.6968157,514.5159907,21.29134204
107039,[H]SC([H])([H])C([H])([H])C([H])([H])[H],266,316.7921467,19.09479201
116143,FC(F)=C(F)F,582.15,484.1004792,16.84265582
10544726,O=[N+]([O-])[N+](=O)[O-],551.7,461.2030075,16.40329753
68122,[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],279,318.4610692,14.14375241
556672,[H]C([H])([H])[Si]1(C([H])([H])[H])O[Si](C([H])([H])[H])(C([H])([H])[H])O[Si](C([H])([H])[H])(C([H])([H])[H])O[Si](C([H])([H])[H])(C([H])([H])[H])O1,301.4390244,342.7353193,13.69971753
142687,[H]C1([H])OC([H])([H])C([H])([H])C([H])([H])C1([H])[H],328,283.6676218,13.51596897
115253,FC1(F)C(F)(F)C(F)(F)C1(F)F,619.91453,543.7075292,12.29314641
109864,[H]OC([H])([H])C([H])([H])OC([H])([H])[H],289,324.187295,12.17553459
110009,[H]c1oc([H])c([H])c1[H],312.1353211,349.9742931,12.12261779
75796,[H]C([H])([H])[Si](Cl)(Cl)Cl,435,484.6166315,11.40612219
684162,O=C(C(F)(F)F)C(F)(F)F,505,561.8274112,11.25295271
79389,FC(F)=C(F)Cl,550,488.9383317,11.1021215
355179,[H]C([H])([H])C(=O)C(F)(F)C(F)(F)C(F)(F)F,538,480.0679117,10.76804615
378723,[H]C([H])([H])C([H])([H])C(=O)C(F)(F)C(F)(F)F,494,443.1803881,10.28737083
75785,[H]C([H])([H])[Si](Cl)(Cl)C([H])([H])[H],369,405.9767222,10.02079193
375962,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,610,553.4124797,9.276642667
307346,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,612,555.6950946,9.200147946
109795,[H]SC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],278,303.5576049,9.193383067
